data,valor
1998-01-02,179113.61
1998-01-03,178758.01
1998-01-04,184198.9
1998-01-05,187377.48
1998-01-06,193636.98
1998-01-07,196751.73
1998-01-08,192626.19
1998-01-09,199389.9
1998-01-10,206423.84
1998-01-11,224602.05
1998-01-12,237034.76
1999-01-01,306384.99
1999-01-02,315051.71
1999-01-03,287909.94
1999-01-04,285402.82
1999-01-05,292195.12
1999-01-06,299780.37
1999-01-07,302989.41
1999-01-08,311803.42
1999-01-09,310779.07
1999-01-10,314817.32
1999-01-11,313173.92
1999-01-12,313668.65
2000-01-01,319874.83
2000-01-02,318035.17
2000-01-03,317330.46
2000-01-04,324239.17
2000-01-05,328181.92
2000-01-06,330556.4
2000-01-07,331000.55
2000-01-08,324961.09
2000-01-09,324501.78
2000-01-10,332820.13
2000-01-11,338523.49
2000-01-12,344258.4
2001-01-01,339639.83
2001-01-02,346989.01
2001-01-03,354786.61
2001-01-04,356055.13
2001-01-05,368060.79
2001-01-06,372456.41
2001-01-07,389042.28
2001-01-08,401364.65
2001-01-09,410483.14
2001-01-10,418082.89
2001-01-11,408511.18
2001-01-12,419120.53
2002-01-01,436186.92
2002-01-02,432360.15
2002-01-03,427755.86
2002-01-04,434538.58
2002-01-05,455035.66
2002-01-06,488729.97
2002-01-07,554335.15
2002-01-08,505122.87
2002-01-09,592218.66
2002-01-10,568153.25
2002-01-11,574933.36
2002-01-12,566734.45
2003-01-01,581343.01
2003-01-02,590805.13
2003-01-03,575592.38
2003-01-04,529735.85
2003-01-05,547833.65
2003-01-06,550408.15
2003-01-07,572336.42
2003-01-08,583769.08
2003-01-09,559126.37
2003-01-10,552682.74
2003-01-11,567124.39
2003-01-12,584543.82
2004-01-01,598830.99
2004-01-02,590507.57
2004-01-03,590587.49
2004-01-04,592558.9
2004-01-05,609122.89
2004-01-06,609483.79
2004-01-07,604948.02
2004-01-08,602950.44
2004-01-09,596913.09
2004-01-10,602683.73
2004-01-11,598274.32
2004-01-12,610077.76
2005-01-01,611296.12
2005-01-02,614329.73
2005-01-03,621544.66
2005-01-04,606245.75
2005-01-05,602959.4
2005-01-06,611636.59
2005-01-07,621328.57
2005-01-08,628765.39
2005-01-09,627770.86
2005-01-10,633593.19
2005-01-11,638869.62
2005-01-12,660185.51
2006-01-01,674190.27
2006-01-02,673788.21
2006-01-03,681797.83
2006-01-04,670744.06
2006-01-05,692066.7
2006-01-06,687061.44
2006-01-07,693152.75
2006-01-08,696502.87
2006-01-09,706558.1
2006-01-10,707126.84
2006-01-11,717551.52
2006-01-12,727318.55
2007-01-01,739728.91
2007-01-02,747648.62
2007-01-03,750319.85
2007-01-04,745927.2
2007-01-05,746223.25
2007-01-06,749832.29
2007-01-07,753805.99
2007-01-08,765456.68
2007-01-09,763420.7
2007-01-10,788471.44
2007-01-11,794051.2
2007-01-12,808095.32
2008-01-01,796209.43
2008-01-02,808880.55
2008-01-03,796090.24
2008-01-04,805928.81
2008-01-05,821998.18
2008-01-06,857004.49
2008-01-07,864154.11
2008-01-08,853494.24
2008-01-09,808957.67
2008-01-10,763808.28
2008-01-11,736065.55
2008-01-12,760248.86
2009-01-01,779974.74
2009-01-02,785523.66
2009-01-03,784916.13
2009-01-04,810182.9
2009-01-05,851139.27
2009-01-06,867950.87
2009-01-07,905682.49
2009-01-08,912781.6
2009-01-09,950373.54
2009-01-10,956518.33
2009-01-11,954910.39
2009-01-12,971724.23
2010-01-01,948326.89
2010-01-02,971834.29
2010-01-03,988477.87
2010-01-04,993646.5
2010-01-05,993112.82
2010-01-06,1002689.11
2010-01-07,1023299.55
2010-01-08,1034551.51
2010-01-09,1019038.64
2010-01-10,1019026.28
2010-01-11,1030095.79
2010-01-12,1044518.15
2011-01-01,1045669.08
2011-01-02,1062416.83
2011-01-03,1073244.14
2011-01-04,1084394.89
2011-01-05,1098179.36
2011-01-06,1112485.93
2011-01-07,1117200.97
2011-01-08,1111732.31
2011-01-09,1038258.49
2011-01-10,1092661.34
2011-01-11,1066589.03
2011-01-12,1061808.61
2012-01-01,1103174.69
2012-01-02,1122851.53
2012-01-03,1088494.97
2012-01-04,1061936.56
2012-01-05,1035849.47
2012-01-06,1044473.62
2012-01-07,1041538.17
2012-01-08,1058907.7
2012-01-09,1049294.61
2012-01-10,1054999.37
2012-01-11,1050451.38
2012-01-12,1061857.96
2013-01-01,1079725.51
2013-01-02,1112300.0
2013-01-03,1102030.54
2013-01-04,1112520.53
2013-01-05,1091595.21
2013-01-06,1087256.07
2013-01-07,1074798.85
2013-01-08,1070029.33
2013-01-09,1111910.25
2013-01-10,1129924.31
2013-01-11,1086565.72
2013-01-12,1090393.26
2014-01-01,1079746.73
2014-01-02,1118690.91
2014-01-03,1133663.12
2014-01-04,1134444.21
2014-01-05,1163040.72
2014-01-06,1192936.9
2014-01-07,1209179.8
2014-01-08,1246139.44
2014-01-09,1245574.94
2014-01-10,1270256.76
2014-01-11,1271354.06
2014-01-12,1272707.44
2015-01-01,1296392.75
2015-01-02,1280795.88
2015-01-03,1255235.71
2015-01-04,1307305.17
2015-01-05,1307041.55
2015-01-06,1353481.53
2015-01-07,1343208.65
2015-01-08,1318563.81
2015-01-09,1297564.09
2015-01-10,1355761.6
2015-01-11,1411361.66
2015-01-12,1500582.44
2016-01-01,1511508.48
2016-01-02,1627008.54
2016-01-03,1696186.3
2016-01-04,1732017.89
2016-01-05,1758618.01
2016-01-06,1898646.18
2016-01-07,1976759.06
2016-01-08,1993853.8
2016-01-09,2057867.99
2016-01-10,2074501.67
2016-01-11,2071241.31
2016-01-12,2247463.59
2017-01-01,2308426.63
2017-01-02,2371349.28
2017-01-03,2403521.6
2017-01-04,2407694.44
2017-01-05,2456365.51
2017-01-06,2482902.91
2017-01-07,2578528.15
2017-01-08,2620832.4
2017-01-09,2660318.57
2017-01-10,2655280.94
2017-01-11,2690505.48
2017-01-12,2715958.2
2018-01-01,2755556.65
2018-01-02,2776111.78
2018-01-03,2788534.65
2018-01-04,2761224.58
2018-01-05,2723310.56
2018-01-06,2746860.0
2018-01-07,2814647.01
2018-01-08,2748393.23
2018-01-09,2826794.1
2018-01-10,2930663.26
2018-01-11,2920934.97
2018-01-12,2961823.44
2019-01-01,3015192.55
2019-01-02,3043253.62
2019-01-03,3016102.48
2019-01-04,3026697.53
2019-01-05,3066126.66
2019-01-06,3121257.84
2019-01-07,3148072.41
2019-01-08,3202380.07
2019-01-09,3221125.06
2019-01-10,3237113.93
2019-01-11,3285446.82
2019-01-12,3323913.97
2020-01-01,3310594.77
2020-01-02,3361566.3
2020-01-03,3405597.12
2020-01-04,3521334.5
2020-01-05,3663290.01
2020-01-06,3879965.21
2020-01-07,3988044.12
2020-01-08,3766889.18
2020-01-09,3872255.25
2020-01-10,3912652.41
2020-01-11,3945120.12
2020-01-12,4018630.3
2021-01-01,4030858.19
2021-01-02,4078667.61
2021-01-03,4113490.28
2021-01-04,4103728.9
2021-01-05,4147746.39
2021-01-06,4241470.4
2021-01-07,4300777.81
2021-01-08,4346930.88
2021-01-09,4393621.84
2021-01-10,4417142.71
2021-01-11,4452730.71
2021-01-12,4479219.91
2022-01-01,4433862.72
2022-01-02,4412427.14
2022-01-03,4460662.32
2022-01-04,4485921.21
2022-01-05,4561755.86
2022-01-06,4608672.32
2022-01-07,4619940.52
2022-01-08,4698506.53
2022-01-09,4723540.63
2022-01-10,4723266.34
2022-01-11,4783323.37
2022-01-12,4827099.07
2023-01-01,4791744.63
2023-01-02,4875622.71
2023-01-03,4943427.9
2023-01-04,4967402.18
2023-01-05,5055125.69
2023-01-06,5128473.13
2023-01-07,5198135.59
2023-01-08,5283360.64
2023-01-09,5323386.34
2023-01-10,5351578.1
2023-01-11,5431451.98
2023-01-12,5613293.49
2024-01-01,5633243.69
2024-01-02,5752327.38
2024-01-03,5802366.54
2024-01-04,5855255.02
2024-01-05,5979709.68
2024-01-06,6091470.51
2024-01-07,6161706.41
2024-01-08,6238890.77
2024-01-09,6283834.36
2024-01-10,6325912.01
2024-01-11,6399452.6
